Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Rain Intensity_log,Interval Rain_log,Total Rain_log,Wind Direction_log,Maximum Wind Speed_log,Solar Radiation_log,gust_factor,barometric_pressure_rolling_7h,barometric_pressure_rolling_12h,humidity_rolling_12h,humidity_rolling_24h
6.78,8.5,86,0.0,0.0,1.5,0,348,4.0,4.6,998.6,37,351.0,15.2,0.0,0.0,0.9162907318741552,5.855071922202427,1.7227665977411035,3.6375861597263857,1.586206896551724,0.6000000000000227,0.6000000000000227,-2.0,3.0
6.89,8.5,84,0.0,0.0,1.5,0,8,4.1,5.1,999.3,78,351.0,15.2,0.0,0.0,0.9162907318741552,2.1972245773362196,1.8082887711792657,4.3694478524670215,1.7586206896551724,1.2999999999999543,1.2999999999999543,-4.0,-5.0
9.7,8.0,80,0.0,0.0,10.3,0,12,5.1,7.2,1000.7,295,359.0,12.1,0.0,0.0,2.424802725718295,2.5649493574615367,2.104134154270207,5.69035945432406,2.4827586206896552,1.400000000000091,2.7000000000000455,-8.0,-8.0
8.06,8.5,77,0.0,0.0,1.5,0,348,5.2,6.8,999.7,261,351.0,15.2,0.0,0.0,0.9162907318741552,5.855071922202427,2.0541237336955462,5.568344503761097,2.3448275862068964,-1.0,1.7000000000000457,-11.0,-11.0
9.0,7.3,80,0.0,0.0,10.3,0,15,5.7,7.4,1000.5,307,359.0,12.0,0.0,0.0,2.424802725718295,2.772588722239781,2.128231705849268,5.730099782973574,2.5517241379310347,-0.2000000000000454,2.5,-8.0,-8.0
9.0,7.5,82,0.0,0.0,10.3,0,12,5.2,6.5,1000.2,158,359.0,12.2,0.0,0.0,2.424802725718295,2.5649493574615367,2.0149030205422647,5.0689042022202315,2.241379310344828,-0.5,2.2000000000000455,-6.0,-6.0
7.78,8.5,79,0.0,0.0,1.5,0,346,3.4,4.8,1000.0,38,351.0,15.2,0.0,0.0,0.9162907318741552,5.849324779946859,1.7578579175523736,3.6635616461296463,1.6551724137931034,-0.7000000000000455,1.3999999999999773,-7.0,-9.0
8.8,7.2,82,0.0,0.0,10.3,0,7,4.3,6.3,1000.7,37,359.0,12.0,0.0,0.0,2.424802725718295,2.0794415416798357,1.9878743481543455,3.6375861597263857,2.1724137931034484,0.0,2.1000000000000227,-4.0,-6.0
8.8,7.2,81,0.0,0.0,10.3,0,13,4.3,6.0,1000.6,13,359.0,12.2,0.0,0.0,2.424802725718295,2.6390573296152584,1.9459101490553132,2.6390573296152584,2.068965517241379,-0.1000000000000227,1.3000000000000682,-3.0,-7.0
7.89,8.5,79,0.0,0.0,1.5,0,349,4.8,6.7,1000.0,10,351.0,15.2,0.0,0.0,0.9162907318741552,5.857933154483459,2.0412203288596382,2.3978952727983707,2.310344827586207,-0.7000000000000455,0.7000000000000455,-5.0,-9.0
8.6,7.0,80,0.0,0.0,10.3,0,14,4.9,6.1,1001.0,3,359.0,12.0,0.0,0.0,2.424802725718295,2.70805020110221,1.9600947840472696,1.3862943611198906,2.103448275862069,0.2999999999999545,0.2999999999999545,0.0,-8.0
7.78,8.5,78,0.0,0.0,1.5,0,348,4.8,5.5,1000.3,0,351.0,15.2,0.0,0.0,0.9162907318741552,5.855071922202427,1.8718021769015911,0.0,1.896551724137931,-0.4000000000000909,-0.4000000000000909,-2.0,-10.0
7.5,8.5,76,0.0,0.0,1.5,0,345,2.5,2.8,1000.7,0,351.0,15.2,0.0,0.0,0.9162907318741552,5.846438775057725,1.33500106673234,0.0,0.9655172413793104,1.0,0.0,-4.0,-12.0
